carat,cut,color,clarity,depth,table,price
0.8,Good,H,VS2,63.4,60,2845
1.27,Premium,H,SI2,59.3,61,2845
0.79,Ideal,D,SI1,61.5,56,2846
0.72,Very Good,F,VS1,60.2,59,2846
0.73,Ideal,H,VVS2,61.6,56,2846
1.01,Fair,H,SI2,65.4,59,2846
1.01,Good,H,I1,64.2,61,2846
0.73,Ideal,E,SI1,59.1,59,2846
0.7,Ideal,E,SI1,61.6,57,2846
0.7,Good,F,VS2,59.1,61,2846
0.77,Premium,E,SI1,62.9,59,2846
0.77,Premium,G,VS2,61.3,60,2846
0.77,Premium,G,VS1,61.4,58,2846
0.84,Very Good,H,SI1,61.2,57,2847
0.72,Ideal,E,SI1,60.3,57,2847
0.76,Premium,D,SI1,61.1,59,2847
0.7,Very Good,G,VVS2,62.9,59,2848
0.54,Ideal,D,VVS2,61.5,55,2848
0.75,Fair,D,SI2,64.6,57,2848
0.79,Good,E,SI1,64.1,54,2849
0.74,Very Good,E,VS1,63.1,58,2849
0.7,Very Good,E,VS2,61,60,2850
0.7,Ideal,F,VS2,60.8,59,2850
0.75,Ideal,J,SI1,61.5,56,2850
1.2,Very Good,H,I1,63.1,60,2850
0.8,Very Good,F,SI1,63.4,57,2851
0.87,Very Good,F,SI2,61,63,2851
0.86,Premium,H,SI1,62.7,59,2851
0.74,Ideal,F,SI1,61,57,2851
0.58,Very Good,E,IF,60.6,59,2852
0.78,Ideal,I,VS1,61.5,57,2852
0.74,Ideal,G,SI1,61.3,55,2852
0.73,Ideal,E,SI1,62.7,55,2852
0.91,Very Good,I,SI1,63.5,57,2852
0.71,Premium,F,VS2,62.6,58,2853
0.71,Good,G,VS1,63.5,55,2853
0.79,Premium,D,SI2,60,60,2853
0.71,Premium,E,SI1,62.7,58,2853
0.82,Premium,I,VS1,61.9,58,2853
0.78,Very Good,H,VS1,61.9,57.1,2854
0.7,Very Good,E,VS1,62.4,56,2854
1.12,Premium,H,I1,59.1,61,2854
0.73,Premium,E,VS2,62,57,2854
0.91,Fair,J,VS2,64.4,62,2854
0.91,Fair,J,VS2,65.4,60,2854
0.91,Good,J,VS2,64.2,58,2854
0.91,Fair,H,SI1,65.8,58,2854
0.7,Premium,E,VS1,58.4,59,2854
0.73,Very Good,F,VS2,62.5,57,2855
1.03,Good,J,SI1,63.6,57,2855
0.74,Premium,D,VS2,62.4,57,2855
0.98,Fair,E,SI2,53.3,67,2855
1,Fair,G,SI2,67.8,61,2856
1.02,Ideal,H,SI2,61.6,55,2856
0.6,Ideal,F,VVS2,60.8,57,2856
0.8,Ideal,G,SI2,61.6,56,2856
1,Fair,I,SI1,67.9,62,2856
0.26,Ideal,E,VS1,62.3,57,556
0.26,Ideal,E,VS1,62.1,56,556
0.36,Ideal,H,SI1,61.9,55,556
0.34,Good,G,VS2,57.5,61,556
0.34,Good,E,SI1,63.3,57,556
0.34,Good,E,SI1,63.5,55,556
0.34,Good,E,SI1,63.4,55,556
0.34,Very Good,G,VS2,59.6,62,556
0.34,Ideal,E,SI1,62.2,54,556
0.32,Good,E,VS2,64.1,54,556
0.31,Ideal,I,VVS1,61.6,55,557
0.31,Ideal,I,VVS1,61.3,56,557
0.31,Ideal,I,VVS1,62.3,54,557
0.31,Ideal,I,VVS1,62,54,557
0.31,Ideal,I,VVS1,62.7,53,557
0.31,Ideal,I,VVS1,62.2,53,557
0.31,Ideal,G,VS2,62.2,53.6,557
0.31,Ideal,H,VS1,61.8,54.2,557
0.33,Premium,G,SI2,59.4,59,557
0.33,Premium,G,SI2,62.6,58,557
0.33,Ideal,G,SI2,61.9,56,557
0.33,Premium,F,SI2,63,58,557
0.33,Premium,J,VS1,62.8,58,557
0.33,Premium,J,VS1,61.5,61,557
0.33,Ideal,J,VS1,62.1,55,557
0.33,Ideal,I,SI1,63,57,557
0.33,Good,I,SI1,63.6,53,557
0.33,Premium,I,SI1,60.4,59,557
1,Fair,H,SI2,66.1,56,2856
0.77,Premium,F,SI1,60.8,59,2856
0.77,Premium,F,SI1,61,58,2856
0.7,Good,E,VVS2,60.1,63,2857
0.9,Very Good,G,SI2,63.1,58,2857
0.72,Ideal,E,SI1,62.3,57,2857
0.9,Premium,I,VS2,61.9,59,2857
0.72,Premium,E,SI1,62.1,58,2857
0.7,Ideal,G,VVS2,62.1,56,2858
0.81,Very Good,F,SI1,61.3,57,2858
0.81,Very Good,F,SI1,61.7,57,2858
0.71,Premium,E,VS2,61,60,2858
0.7,Premium,E,VS2,61.4,59,2858
0.71,Premium,E,VS2,61.5,60,2858
0.71,Very Good,E,VS2,63.5,59,2858
0.92,Premium,J,SI1,62.9,58,2858
0.76,Ideal,E,SI1,62.7,54,2858
0.73,Ideal,D,SI1,61.5,56,2858
0.7,Good,E,VVS2,63.6,62,2858
0.9,Fair,G,SI2,64.5,56,2858
0.71,Fair,D,VS2,56.9,65,2858
0.7,Ideal,D,VS2,61,57,2859
0.7,Premium,D,VS2,62.4,56,2859
0.77,Premium,F,VS1,60.9,60,2859
0.71,Ideal,G,VS1,61.5,56,2859
0.7,Premium,D,VS2,59.6,61,2859
0.71,Very Good,F,VS2,61.3,61,2860
0.9,Very Good,J,SI2,63.6,58,2860
0.6,Ideal,E,VVS2,61.9,54.9,2860
0.71,Premium,D,VS1,62.9,57,2860
0.62,Ideal,G,VVS2,61.6,56,2861
0.62,Ideal,G,VVS2,61.6,56,2861
0.9,Premium,I,SI1,63,58,2861
0.62,Fair,F,IF,60.1,61,2861
0.82,Premium,E,SI2,61.7,59,2861
0.66,Premium,D,VS1,61,58,2861
0.7,Very Good,D,SI1,62.5,55,2862
0.8,Very Good,F,SI1,62.6,58,2862
0.8,Very Good,D,SI2,62.5,59,2862
0.79,Premium,F,SI1,62.3,54,2862
0.71,Very Good,F,VVS1,63.2,60,2862
0.7,Very Good,E,VS2,58.7,63,2862
0.79,Premium,H,VS1,60,60,2862
0.7,Premium,E,VS2,59.5,59,2862
1.22,Premium,E,I1,60.9,57,2862
1.01,Fair,E,SI2,67.6,57,2862
0.73,Premium,E,VS2,62.5,61,2862
0.91,Good,I,VS2,64.3,58,2863
0.71,Ideal,D,SI1,60.8,56,2863
0.83,Premium,G,SI1,62.3,58,2863
0.84,Premium,F,SI2,62.3,59,2863
0.71,Premium,D,SI1,61,61,2863
0.71,Premium,D,SI1,59.7,59,2863
0.71,Premium,D,SI1,61.7,56,2863
0.71,Ideal,D,SI1,61.7,57,2863
0.71,Premium,D,SI1,61.4,58,2863
0.71,Premium,D,SI1,60.6,58,2863
0.91,Premium,J,SI1,59.5,62,2863
0.9,Premium,J,VS2,59.8,62,2863
0.71,Premium,H,VVS2,61.5,62,2863
0.72,Ideal,F,VS2,59.5,57,2863
0.72,Premium,E,SI1,60.9,60,2863
0.71,Ideal,E,VS2,61,55,2863
0.83,Very Good,I,VS2,61.6,58,2865
0.73,Premium,D,SI1,60.8,55,2865
0.56,Very Good,D,VVS1,62,56,2866
0.56,Very Good,D,VVS1,61.8,55,2866
0.71,Ideal,E,VS1,62.2,55,2866
0.7,Ideal,H,VVS1,62.3,58,2866
0.96,Premium,I,SI1,61.3,58,2866
0.71,Very Good,H,VVS1,62.9,57,2867
0.7,Ideal,D,VS2,62.4,57,2867
0.71,Ideal,H,VVS1,60.4,57,2867
0.8,Premium,H,VS2,61.2,53,2867
0.95,Premium,F,SI2,58.4,57,2867
0.82,Ideal,F,SI2,62.3,56,2867
0.52,Ideal,F,VVS1,61.2,56,2867
0.82,Ideal,F,SI2,61.7,53,2867
0.82,Ideal,F,SI2,62.3,56,2867
0.82,Premium,F,SI2,59.7,57,2867
0.8,Ideal,G,SI1,61.3,57,2867
0.72,Ideal,I,VS1,62.4,55,2868
0.75,Very Good,E,SI1,63.1,56,2868
1.08,Premium,D,I1,61.9,60,2869
0.72,Ideal,E,SI1,60.8,55,2869
0.62,Ideal,G,IF,61.8,56,2869
0.73,Ideal,G,VVS2,61.3,57,2869
0.72,Ideal,H,VVS2,60.9,57,2869
0.52,Premium,F,VVS2,61.8,60,2870
0.64,Premium,E,VVS2,62.1,58,2870
0.8,Ideal,G,SI1,62.5,57,2870
0.74,Ideal,H,SI1,62.1,56,2870
0.72,Ideal,F,SI1,61.5,56,2870
0.82,Ideal,H,VS2,59.5,57,2870
0.73,Premium,E,VS1,61.3,59,2870
1.04,Premium,I,I1,61.6,61,2870
0.73,Very Good,E,SI1,61.3,58,2871
0.73,Good,E,SI1,63.6,57,2871
0.9,Premium,J,SI1,62.8,59,2871
0.75,Ideal,I,SI1,61.8,55,2871
0.79,Ideal,G,SI1,62.6,55,2871
0.7,Good,D,SI1,62.5,56.7,2872
0.75,Very Good,D,SI1,60.7,55,2872
1.02,Ideal,I,I1,61.7,56,2872
0.7,Very Good,G,SI2,59,62,2872
0.7,Ideal,D,SI1,61.8,56,2872
0.7,Good,E,SI1,61.4,64,2872
0.7,Ideal,D,SI1,61.4,54,2872
0.7,Ideal,D,SI1,60.7,56,2872
0.7,Very Good,D,SI1,60.2,60,2872
0.72,Very Good,E,VS2,58.3,57,2872
0.74,Ideal,E,SI1,62.3,58,2872
0.84,Good,G,SI1,65.1,55,2872
0.77,Very Good,E,SI1,63.2,58,2873
0.76,Ideal,E,SI2,62.8,56,2873
1,Ideal,I,SI2,61.7,56,2873
1,Fair,H,SI1,65.5,62,2873
0.9,Fair,I,SI1,65.7,58,2873
0.9,Premium,J,SI1,61.8,58,2873
0.9,Good,J,SI1,64,61,2873
0.9,Fair,I,SI1,65.3,61,2873
0.9,Fair,I,SI1,65.8,56,2873
0.9,Premium,J,SI1,60.9,61,2873
0.78,Premium,F,VS2,62.6,58,2874
0.7,Premium,F,VS1,59,59,2874
0.7,Premium,F,VS1,60.8,62,2874
0.7,Premium,G,VVS2,61.8,58,2874
0.7,Ideal,F,VS1,61,55,2874
0.7,Ideal,F,VS1,61.6,55,2874
0.7,Ideal,F,VS1,62.4,56,2874
0.7,Premium,G,VVS2,62.9,59,2874
1,Fair,H,SI2,67.7,60,2875
0.77,Ideal,H,SI1,62.4,56,2875
1,Fair,J,VS1,65.5,55,2875
1,Fair,I,SI1,66.3,61,2875
1,Fair,H,SI2,69.5,55,2875
0.73,Premium,E,VS1,62.6,60,2876
0.79,Premium,E,VS2,60.6,53,2876
0.71,Ideal,E,VS1,62.4,56,2877
0.74,Ideal,G,VS2,62.3,55,2877
0.7,Good,H,VVS1,62.7,56,2877
0.7,Good,F,VS1,59.1,62,2877
0.79,Very Good,F,SI1,62.8,59,2878
0.79,Very Good,F,SI1,62.7,60,2878
0.79,Very Good,D,SI2,59.7,58,2878
0.71,Ideal,I,VS2,61.5,55,2878
0.79,Ideal,F,SI1,62.8,56,2878
0.73,Very Good,F,SI1,61.4,56,2879
0.63,Premium,E,IF,60.3,62,2879
0.7,Premium,F,VS1,60.4,60,2879
0.71,Premium,F,VS1,62.7,58,2879
0.84,Ideal,G,SI2,61,56,2879
0.84,Ideal,G,SI2,62.3,55,2879
1.02,Ideal,J,SI2,60.3,54,2879
0.72,Fair,F,VS1,56.9,69,2879
0.72,Ideal,F,VS1,62,56,2879
0.92,Very Good,J,SI2,58.7,61,2880
0.74,Very Good,D,SI1,63.9,57,2880
0.7,Ideal,H,VVS1,62,55,2881
0.71,Very Good,E,VS2,60,59,2881
1.05,Premium,H,I1,62,59,2881
0.7,Very Good,H,IF,62.8,56,2882
0.54,Ideal,F,VVS1,61.8,56,2882
0.73,Premium,F,VS2,59.9,58,2882
0.73,Premium,F,VS2,58.7,57,2882
0.72,Ideal,D,SI1,61.8,56,2883
0.9,Good,H,SI2,62.7,64,2883
1.03,Fair,I,SI2,65.3,55,2884
0.84,Very Good,F,SI1,63.8,57,2885
1.01,Premium,I,SI1,62.7,60,2885
0.77,Ideal,D,SI2,61.5,55,2885
0.8,Fair,E,SI1,56.3,63,2885
0.9,Fair,D,SI2,66.9,57,2885
0.73,Ideal,E,SI1,61.4,56,2886
0.72,Ideal,E,SI1,62.7,55,2886
0.7,Premium,E,VS1,62.6,59,2887
0.72,Very Good,G,VVS2,62.5,58,2889
0.7,Very Good,E,VS2,63.5,54,2889
0.7,Very Good,F,VS1,62.2,58,2889
0.9,Good,H,SI2,63.5,58,2889
0.71,Very Good,F,VS1,62.8,56,2889
0.5,Ideal,E,VVS2,62.2,54,2889
0.5,Ideal,E,VVS2,62.2,54,2889
0.74,Ideal,F,SI1,61.2,56,2889
0.77,Premium,F,VS2,61.8,56,2889
0.77,Premium,E,SI1,59.8,61,2889
0.8,Ideal,F,SI1,61.5,54,2890
0.8,Premium,F,SI1,61.5,60,2890
0.8,Good,F,SI1,63.8,59,2890
0.66,Ideal,G,VVS1,61.5,56,2890
0.71,Very Good,E,VS2,61.2,58,2891
0.71,Ideal,F,VS2,61.2,56,2891
0.71,Ideal,E,VS2,61.6,56,2891
0.71,Ideal,E,VS2,62.7,56,2891
0.72,Ideal,D,SI1,61.1,56,2891
0.71,Good,D,VS2,62.3,61,2891
0.86,Ideal,H,SI2,61.8,55,2892
1.19,Fair,H,I1,65.1,59,2892
0.71,Very Good,F,VS1,62.6,55,2893
0.82,Very Good,G,SI2,62.5,56,2893
0.71,Ideal,G,VVS2,61.5,57,2893
0.75,Ideal,F,VS2,62.5,57,2893
0.7,Very Good,H,VVS1,59.2,60,2893
0.8,Ideal,G,SI2,62.5,55,2893
0.82,Good,G,SI2,59.9,62,2893
0.82,Very Good,G,SI1,63.4,55,2893
0.82,Premium,G,SI1,59.9,59,2893
0.81,Very Good,E,SI2,62.4,57,2894
0.81,Ideal,G,SI2,62.2,57,2894
0.76,Ideal,F,SI1,61.4,56,2894
0.71,Very Good,G,VS2,60.9,56,2895
0.7,Very Good,F,VS1,61.8,59,2895
0.74,Very Good,G,VS1,59.8,58,2896
0.77,Very Good,G,VS2,61.3,60,2896
0.77,Very Good,G,VS2,58.3,63,2896
0.79,Ideal,D,SI1,61.5,56,2896
0.73,Ideal,E,SI2,61.5,55,2896
0.77,Ideal,D,SI2,62.1,56,2896
0.77,Premium,E,SI1,60.9,58,2896
1.01,Very Good,I,I1,63.1,57,2896
0.6,Very Good,D,VVS2,60.6,57,2897
0.76,Premium,E,SI1,61.1,58,2897
0.54,Ideal,D,VVS2,61.4,52,2897
0.72,Ideal,E,SI1,62.5,55,2897
0.72,Good,F,VS1,59.4,61,2897
0.74,Premium,D,VS2,61.8,58,2897
1.12,Premium,J,SI2,60.6,59,2898
0.75,Ideal,D,SI1,62.3,55,2898
0.77,Ideal,D,SI1,62.6,57,2898
0.98,Good,H,SI2,57.9,56,2898
0.79,Ideal,G,SI1,62.3,57,2898
0.79,Ideal,G,SI1,62.3,57,2898
0.79,Ideal,G,SI1,62.3,57,2898
0.79,Ideal,G,SI1,62.3,57,2898
0.79,Ideal,G,SI1,62.3,57,2898
0.7,Good,G,VVS1,59.9,61,2899
0.7,Very Good,F,SI1,61.9,58,2900
0.72,Premium,D,VS1,62.7,58,2900
0.8,Premium,F,SI1,62.7,58,2901
0.81,Ideal,E,SI2,63,56,2901
0.81,Premium,E,SI2,62.5,59,2901
0.74,Ideal,E,VS2,61.9,57,2901
0.73,Premium,E,VS2,62,60,2902
0.73,Ideal,E,VS2,61.4,55,2902
0.75,Ideal,G,SI1,61.6,55,2902
0.71,Fair,E,VS2,64.6,59,2902
0.71,Premium,E,VS2,59.6,60,2902
0.75,Premium,D,SI1,62.8,60,2903
0.75,Ideal,D,SI1,62.3,57,2903
0.72,Ideal,D,SI1,61.9,55,2903
0.72,Premium,D,SI1,61.4,59,2903
0.72,Premium,E,VS2,61.1,59,2903
0.79,Very Good,F,SI1,63,54,2904
0.79,Very Good,D,SI2,62.8,57,2904
0.7,Very Good,E,VS1,58.4,59,2904
0.62,Ideal,E,VVS2,62,56,2904
0.7,Very Good,G,VVS2,59.3,62,2905
0.7,Very Good,G,VVS2,63.4,59,2905
0.7,Very Good,G,VVS2,63.3,59,2905
0.71,Very Good,G,VS2,62.1,58,2905
0.86,Very Good,I,VS1,61.2,58,2905
0.53,Ideal,D,VVS1,62.5,54,2905
0.95,Good,I,SI2,63.8,57,2905
0.91,Premium,J,SI1,62.8,59,2905
0.74,Very Good,D,VS2,62.4,57,2906
0.8,Ideal,I,VS1,62.2,58,2906
0.74,Good,E,SI1,62.8,61,2906
0.61,Ideal,E,VVS2,62.4,53.9,2907
0.61,Ideal,E,VVS2,62.4,53.6,2907
0.61,Ideal,E,VVS2,62.1,54.2,2907
0.72,Ideal,H,VVS1,62.8,57,2907
0.7,Ideal,F,VS2,62.3,53,2907
0.71,Ideal,F,VS1,61.9,56,2907
0.79,Ideal,G,SI1,60.3,60,2907
0.72,Ideal,E,SI1,62.6,56,2907
0.33,Ideal,G,SI2,62.9,55,557
0.39,Ideal,H,SI2,61.5,57,558
0.32,Ideal,D,SI1,61.3,55,558
0.25,Premium,F,VS1,61.2,59,558
0.25,Premium,E,VS1,60.7,59,558
0.25,Premium,E,VS1,61.5,60,558
0.31,Premium,I,VS2,60.8,58,558
0.31,Premium,I,VS2,59.8,60,558
0.31,Very Good,I,VS2,63.2,55,558
0.31,Premium,H,SI1,58.7,60,558
0.31,Premium,H,SI1,62.7,58,558
0.31,Ideal,E,SI2,61.7,56,558
0.31,Ideal,E,SI2,61.3,55,558
0.31,Premium,I,VS2,60.8,60,558
0.31,Ideal,I,VS2,59.9,57,558
0.31,Premium,I,VS2,59.9,60,558
0.31,Premium,I,VS2,61.1,58,558
0.31,Premium,I,VS2,60.7,61,558
0.31,Very Good,I,VS2,63.1,54,558
0.31,Premium,I,VS2,62.3,60,558
0.31,Premium,H,SI1,61.7,59,558
0.31,Good,H,SI1,63.6,57,558
0.31,Premium,H,SI1,62.4,57,558
0.31,Premium,H,SI1,62.8,58,558
0.31,Ideal,H,SI1,62.9,56,558
0.31,Premium,E,SI2,60.9,60,558
0.82,Very Good,H,SI1,63.6,56,2908
0.73,Ideal,I,VS1,61.5,55,2908
0.71,Ideal,H,VS1,61.2,56,2909
0.71,Ideal,H,VS1,61.9,56,2909
0.9,Ideal,I,SI2,61.9,57,2909
0.71,Very Good,D,VS1,62.9,57,2910
1.05,Premium,I,SI2,58.3,57,2911
0.59,Ideal,E,VVS2,61.1,57,2911
0.71,Ideal,G,VS2,60.6,56,2911
0.77,Good,F,VS2,60.3,61,2911
0.73,Good,E,VS2,64.2,54,2912
0.7,Good,E,VS2,58.7,63,2912
0.73,Good,E,VS2,63.2,56,2912
0.8,Premium,E,SI1,61.2,60,2912
1,Fair,H,SI2,65.2,54,2912
1,Fair,I,SI1,66,56,2912
1,Fair,H,SI2,67,55,2912
0.7,Very Good,D,VS2,60.7,60,2913
0.71,Premium,D,SI1,61.4,58,2913
0.71,Premium,G,SI2,60.8,59,2913
0.71,Premium,D,SI1,60.6,58,2913
0.71,Very Good,D,SI1,61.7,56,2913
0.71,Ideal,D,SI1,61.7,57,2913
0.71,Premium,D,SI1,59.7,59,2913
0.91,Premium,I,SI2,62,59,2913
0.83,Premium,E,SI1,62.2,59,2913
0.85,Ideal,G,SI2,62,57,2913
0.8,Very Good,F,SI1,63.5,55,2914
0.73,Ideal,E,SI1,61.4,58,2914
0.83,Very Good,I,VS2,62,55,2915
0.77,Very Good,G,SI1,63.6,57,2915
0.8,Very Good,G,SI2,62,55,2915
0.71,Ideal,F,VS2,62.2,56,2915
0.73,Very Good,H,VS1,60.8,57,2916
0.93,Ideal,I,SI1,62,57,2917
0.74,Premium,F,VS1,62.5,60,2917
0.7,Ideal,E,VS2,62.5,58,2917
0.71,Ideal,F,VS2,61.2,56,2917
0.71,Very Good,F,VS2,59.5,58,2918
0.8,Very Good,H,VS2,61.2,53,2918
0.71,Ideal,H,VVS1,62.1,54,2918
0.72,Ideal,I,VS2,61.8,55,2918
0.83,Very Good,D,SI2,63.1,57,2918
0.72,Very Good,G,VS1,60.5,57,2919
0.8,Very Good,H,SI1,62.5,56,2919
0.73,Premium,G,VVS2,62.2,56,2919
0.7,Good,F,VS1,63.8,58,2919
0.73,Ideal,H,VS1,61.9,55,2919
0.71,Premium,E,VS1,59.7,57,2920
0.72,Ideal,F,SI1,61,55,2920
0.71,Premium,F,VS1,59.1,59,2920
0.71,Ideal,F,VS1,62.6,55,2920
0.74,Very Good,H,VVS2,60.5,60,2921
0.71,Very Good,E,VS2,59.9,59,2921
0.71,Very Good,E,VS2,60.7,60,2921
0.71,Very Good,D,SI1,60.1,60,2921
0.65,Ideal,F,VVS2,61.3,56,2921
0.9,Fair,I,VS2,64.1,66,2921
0.71,Very Good,E,VS2,63.7,58,2922
0.71,Very Good,E,VS2,63.3,59,2922
0.68,Very Good,F,VS1,59.7,57,2922
0.53,Ideal,F,VVS1,61.6,56,2922
0.77,Ideal,D,SI2,60.6,56,2922
0.72,Very Good,E,VS2,63,57,2923
0.72,Very Good,E,VS2,63.2,58,2923
0.7,Very Good,E,SI1,61.8,59,2923
0.75,Very Good,E,SI1,62.3,58,2923
0.75,Very Good,E,SI1,61.5,58,2923
0.87,Ideal,H,SI1,62.5,57,2923
0.71,Ideal,E,VS1,62.4,54,2923
0.77,Ideal,D,SI2,60.2,56,2923
0.78,Ideal,F,SI1,61.1,56,2923
0.75,Good,E,SI1,58.3,60,2923
0.9,Premium,I,VS2,58.7,60,2923
0.7,Ideal,I,VS1,61.5,56,2924
0.8,Very Good,D,SI1,58.2,63,2925
0.7,Very Good,F,VS1,64.5,58,2925
0.51,Very Good,E,IF,63.3,58,2925
0.71,Ideal,I,IF,61.5,56,2925
1.02,Ideal,I,I1,61.7,56,2925
1.2,Premium,I,I1,60.5,58,2925
0.81,Good,D,SI2,63.6,55,2926
0.81,Premium,F,SI1,61.2,56,2926
0.81,Premium,F,SI1,61.3,60,2926
0.77,Very Good,H,VS1,63.3,57,2927
0.8,Ideal,I,SI1,59.4,58,2927
0.7,Very Good,F,VS2,61.3,54,2928
0.7,Very Good,D,VS2,60.8,59,2928
0.74,Very Good,E,SI1,61,58,2929
0.8,Very Good,G,VS2,61.1,57,2929
0.7,Ideal,G,VS2,61.8,57,2929
0.7,Ideal,E,SI1,60.1,57,2929
0.71,Very Good,E,VS2,61.3,60,2930
0.7,Premium,E,VS1,60.3,58,2930
0.7,Ideal,E,VS1,62.3,54,2930
0.71,Ideal,F,VS2,62.3,57,2930
0.71,Ideal,G,VS1,62.7,57,2930
0.71,Ideal,G,VS1,62.6,57,2930
0.9,Very Good,E,SI2,58.7,63,2930
0.9,Fair,E,SI2,65,58,2930
0.71,Ideal,G,VVS1,61.7,57,2930
0.7,Very Good,G,VVS2,60.8,57,2931
0.72,Very Good,F,VS2,63.3,57,2931
0.7,Premium,G,VVS1,62,61,2932
0.7,Premium,F,VVS2,61,57,2932
0.7,Very Good,F,VVS2,63.2,58,2932
0.72,Very Good,G,VVS2,62.2,57,2933
0.59,Very Good,D,VVS2,60.6,59,2933
0.73,Premium,F,VS2,59.9,58,2933
0.75,Ideal,F,VS2,62.3,57,2933
0.75,Good,D,SI2,57.6,56,2933
0.9,Good,H,SI2,62.7,64,2934
0.71,Ideal,D,SI2,62,54,2934
0.91,Premium,H,SI1,60.2,52,2935
1.17,Fair,I,I1,65.4,62,2935
0.8,Premium,H,VS1,62,60,2935
0.7,Very Good,G,VVS2,61.8,60,2936
0.81,Very Good,H,SI1,60.2,58,2936
0.74,Ideal,F,VS2,60.5,59,2936
0.7,Ideal,D,SI2,62.6,54,2936
0.82,Ideal,E,SI2,62.1,56,2937
0.76,Premium,E,SI1,58.3,62,2937
0.76,Premium,G,VS1,59.6,57,2937
0.95,Premium,G,SI2,58.8,60,2937
0.71,Very Good,H,VVS1,62.7,57,2938
0.81,Ideal,E,SI2,60.2,57,2938
0.73,Very Good,G,VS1,60.7,57,2939
0.83,Very Good,F,SI2,61.9,56,2939
0.8,Ideal,E,SI2,60.8,56,2939
0.73,Ideal,F,VS2,62.7,58,2939
0.72,Ideal,E,SI2,62.4,57,2939
0.8,Premium,E,SI2,59.9,58,2939
0.81,Ideal,I,VS2,61.8,56,2939
0.82,Premium,H,VS2,62.6,59,2939
0.7,Good,F,VVS2,63.1,57,2940
1.24,Very Good,J,I1,61.9,55,2940
0.7,Very Good,F,VVS2,62.6,59,2940
0.7,Ideal,F,VS1,61.2,54,2940
1,Good,H,I1,57.6,61,2940
0.75,Ideal,E,VS2,61.6,57,2940
0.7,Ideal,E,VS2,61.5,56,2940
0.79,Very Good,E,SI2,59.2,59,2941
0.8,Good,F,SI1,63.8,59,2941
0.81,Very Good,F,SI2,62.7,58,2942
0.71,Premium,F,VS1,61.1,58,2942
1.03,Fair,G,SI2,65.7,59,2942
0.7,Ideal,F,VS2,60.8,56,2942
0.76,Premium,D,SI1,61.6,59,2942
1.01,Fair,G,SI2,67.1,59,2942
0.73,Ideal,D,SI1,61.4,56,2943
0.72,Ideal,F,VS2,62,56,2943
0.74,Very Good,H,VVS2,61.3,58,2944
0.79,Ideal,G,SI1,61.6,55,2944
0.57,Very Good,D,VVS1,60.4,57,2945
0.79,Very Good,H,VS2,61.5,55,2945
0.78,Very Good,D,SI1,62.4,58,2945
0.85,Good,G,SI1,64.9,56,2945
0.71,Very Good,E,VS1,63.3,59,2946
0.71,Very Good,E,VS1,62.7,57,2946
0.72,Ideal,H,VVS1,62.2,56,2946
0.72,Ideal,H,VVS1,62.5,57,2946
0.77,Ideal,I,SI1,61.5,56,2946
0.79,Ideal,E,SI1,62.3,55,2946
0.78,Very Good,H,VS1,61.7,56,2947
0.76,Ideal,E,VS1,62.1,57,2947
0.92,Ideal,H,SI2,58.5,57,2947
0.73,Premium,D,VS2,60.9,59,2947
0.7,Ideal,H,VVS1,61.2,57,2947
0.7,Ideal,H,VVS1,60.5,58,2947
0.74,Ideal,I,VS1,62,56,2947
0.74,Ideal,I,VS1,61.1,57,2947
0.73,Ideal,D,SI1,61.2,57,2947
0.82,Good,H,VS2,62.4,54,2947
0.9,Premium,I,SI1,60.9,56,2947
0.73,Ideal,G,VS1,61.7,55,2948
0.7,Ideal,E,SI1,62,56,2948
0.9,Premium,I,SI2,62.5,58,2948
0.9,Fair,I,SI2,66.4,60,2948
0.9,Ideal,I,SI2,62,56,2948
1,Fair,E,SI2,65.8,58,2948
0.72,Very Good,E,VS2,63,56,2949
0.76,Ideal,E,SI1,61.7,57,2949
0.77,Ideal,D,SI1,62.6,57,2949
0.72,Ideal,H,VS1,62.3,55,2949
0.99,Fair,J,SI1,58,67,2949
0.81,Very Good,I,VS1,62.7,58,2950
0.71,Ideal,G,VS1,62.4,57,2950
0.71,Premium,D,VS2,62.1,60,2950
0.54,Ideal,F,VVS1,61.6,55,2951
0.72,Very Good,D,VS1,62.7,58,2951
0.81,Ideal,H,SI1,62.3,58,2951
0.73,Ideal,F,SI1,61.6,55,2951
0.72,Ideal,E,SI1,61,56,2951
0.7,Very Good,E,VS2,62.4,58,2952
0.7,Very Good,E,VS2,63.4,59,2952
0.7,Very Good,E,VS2,61.8,59,2952
0.7,Very Good,E,VS1,61.3,60,2952
0.72,Ideal,G,VS2,61.5,55,2952
0.72,Ideal,G,VS2,61.4,55,2952
0.7,Ideal,E,VS2,61.9,58,2952
0.7,Ideal,E,VS2,62.6,57,2952
0.7,Ideal,E,VS2,62.1,55,2952
0.74,Ideal,I,IF,62.1,53.9,2952
0.7,Good,E,VS1,61,61,2952
0.8,Very Good,H,VS2,59.1,59,2953
0.79,Premium,F,VS2,63,59,2953
0.75,Good,F,VS1,64.4,59,2953
0.71,Very Good,E,VS2,59.6,60,2954
0.72,Ideal,D,SI1,61.9,55,2954
0.72,Premium,E,VS2,61.1,59,2954
0.72,Premium,D,SI1,61.4,59,2954
0.75,Ideal,D,SI1,62.3,57,2954
0.82,Very Good,D,SI1,63.1,58,2954
